gender,age_group,population
male,  0-4,2010958
male,  5-9,2125382
male, 10-14,2023662
male, 15-19,1866424
male, 20-24,2122786
male, 25-29,2311594
male, 30-34,2260198
male, 35-39,2183141
male, 40-44,1991896
male, 45-49,2172509
male, 50-54,2290992
male, 55-59,2168389
male, 60-64,1840921
male, 65-69,1633959
male, 70-74,1587876
male, 75-79,1079944
male, 80-84,757040
male, 85-89,415193
male, 90-94,154862
male, 95-99,33184
male, 100 & over,2367
female,  0-4,1913672
female,  5-9,2024989
female, 10-14,1927739
female, 15-19,1769618
female, 20-24,2007620
female, 25-29,2227836
female, 30-34,2252655
female, 35-39,2215723
female, 40-44,2022836
female, 45-49,2228202
female, 50-54,2366417
female, 55-59,2236579
female, 60-64,1916329
female, 65-69,1741434
female, 70-74,1731260
female, 75-79,1252367
female, 80-84,964684
female, 85-89,629554
female, 90-94,300942
female, 95-99,93010
female, 100 & over,10678
